TRADE NAME,POSTAL CITY,COUNTY,STREET ADDRESS,ZIP,Med Grade,Delivery,Full Address,long,lat
FX 420 INC,ROSEBURG,DOUGLAS,"161 NW GARDEN VALLEY BLVD, SUITE 105 ",97470,Yes,,"161 NW GARDEN VALLEY BLVD, SUITE 105 , ROSEBURG, OR",-123.3552174,43.2263451
LA MOTA ,ROSEBURG,DOUGLAS,644 SE CASS AVE ,97470,Yes,Yes,"644 SE CASS AVE , ROSEBURG, OR",-123.3466539,43.2088657
LA MOTA ROSEBURG 2 LLC,ROSEBURG,DOUGLAS,573 NE STEPHEN'S ST ,97478,,,"573 NE STEPHEN'S ST , ROSEBURG, OR",-123.343154,43.21798
REDBARN DISPENSARY,ROSEBURG,DOUGLAS,634 W UMPQUA ST ,97471,,,"634 W UMPQUA ST , ROSEBURG, OR",-123.359493,43.2133404
REDBARN DISPENSARY,ROSEBURG,DOUGLAS,1810 NE STEPHENS ST. ,97470,Yes,Yes,"1810 NE STEPHENS ST. , ROSEBURG, OR",-123.3512389,43.2316587
UMPQUA GREEN CROSS,ROSEBURG,DOUGLAS,2485 NE DIAMOND LAKE BLVD  ,97470,Yes,,"2485 NE DIAMOND LAKE BLVD  , ROSEBURG, OR",-123.3244078,43.2127229
GREEN KNOTTZ CHILOQUIN,CHILOQUIN,ERROR,131 S 1ST AVE. ,97624,,,"131 S 1ST AVE. , CHILOQUIN, OR",-121.8631055,42.5756704
ROCKY MTN DISPENSARY,JOHN DAY,ERROR,27877 APPLE ROAD ,97845,Yes,,"27877 APPLE ROAD , JOHN DAY, OR",-118.9852051,44.421433
M THRIVE ORGANICS LLC,JOSEPH,ERROR,600 N MAIN STREET ,97846,,,"600 N MAIN STREET , JOSEPH, OR",-117.2294502,45.357397
"A BETTER WAY MEDICINAL ALTERNATIVES, LLC.",KLAMATH FALLS,ERROR,3255 WASHBURN WAY #5 ,97603,,,"3255 WASHBURN WAY #5 , KLAMATH FALLS, OR",-121.756377,42.1983062
EMERALD TRIANGLE DISPENSARY,KLAMATH FALLS,ERROR,2226 WASHBURN WAY ,97603,,,"2226 WASHBURN WAY , KLAMATH FALLS, OR",-121.7580508,42.2070733
EMERALD TRIANGLE DISPENSARY,KLAMATH FALLS,ERROR,3480 WASHBURN WAY SUITE D ,97603,,,"3480 WASHBURN WAY SUITE D , KLAMATH FALLS, OR",-121.7579249,42.1945889
HIGH LAKES CANNABIS CO,KLAMATH FALLS,ERROR,2820 MAYWOOD DR ,97601,,,"2820 MAYWOOD DR , KLAMATH FALLS, OR",-121.7595261,42.201343
BURNT RIVER FARMS LLC. ,ONTARIO,ERROR,1055 NW WASHINGTON ,97914,,,"1055 NW WASHINGTON , ONTARIO, OR",-116.9774885,44.0451326
CANNABIS & GLASS,ONTARIO,ERROR,182 EAST LANE ,97914,,,"182 EAST LANE , ONTARIO, OR",-116.9403995,44.02344420000001
ELEVATION 2150,ONTARIO,ERROR,2876 SW 4TH AVE  SUITE 1,97914,Yes,Yes,"2876 SW 4TH AVE  SUITE 1, ONTARIO, OR",-117.0034416,44.0248252
HOTBOX FARMS,ONTARIO,ERROR,325 NE GOODFELLOW STREET ,97914,,,"325 NE GOODFELLOW STREET , ONTARIO, OR",-116.9437467,44.0277591
THE BUD HOUSE,ONTARIO,ERROR,115 NE 2ND ST ,97914,,,"115 NE 2ND ST , ONTARIO, OR",-116.9586911,44.026978
TOP CROP CANNABIS,ONTARIO,ERROR,297 SE 10TH STREET ,97914,,,"297 SE 10TH STREET , ONTARIO, OR",-116.9508104,44.0225814
TREASURE VALLEY CANNABIS COMPANY,ONTARIO,ERROR,560 SE 12TH AVENUE ,97914,,,"560 SE 12TH AVENUE , ONTARIO, OR",-116.956609,44.0144806
WEEDOLOGY,ONTARIO,ERROR,591 EAST IDAHO ,97914,,,"591 EAST IDAHO , ONTARIO, OR",-116.954193,44.0254691
ZION,ONTARIO,ERROR,340 SE 13TH ST ,97914,,,"340 SE 13TH ST , ONTARIO, OR",-116.9447176,44.0227065
BLAZEN CANNABIS,HINES,HARNEY,800 HIGHWAY 20 S  ,97738,Yes,Yes,"800 HIGHWAY 20 S  , HINES, OR",-119.085174,43.5461229
TUMBLEWEED CANNABIS CO. LLC,HINES,HARNEY,310 NORTH HIGHWAY 20 ,97738,Yes,Yes,"310 NORTH HIGHWAY 20 , HINES, OR",-119.0795085,43.5670543
EVERGREEN HOOD RIVER,HOOD RIVER,HOOD RIVER,1408 13TH ST ,97031,Yes,Yes,"1408 13TH ST , HOOD RIVER, OR",-121.5249166,45.699943
FARM GRASS TABLE,HOOD RIVER,HOOD RIVER,4140 WESTCLIFF DRIVE ,97031,Yes,Yes,"4140 WESTCLIFF DRIVE , HOOD RIVER, OR",-121.5581082,45.7100732
FRONTIER FARMS,HOOD RIVER,HOOD RIVER,602 OAK ST. ,97031,,,"602 OAK ST. , HOOD RIVER, OR",-121.5165695,45.7090811
GORGE GREENERY ,HOOD RIVER,HOOD RIVER,13 OAK STREET ,97031,Yes,,"13 OAK STREET , HOOD RIVER, OR",-121.5110042,45.7085765
HIGH WINDS,HOOD RIVER,HOOD RIVER,1817 CASCADE AVE ,97031,Yes,,"1817 CASCADE AVE , HOOD RIVER, OR",-121.5309722,45.7093121
HOOD RIVER NATURALS,HOOD RIVER,HOOD RIVER,1020 WASCO SUITE K ,97031,Yes,Yes,"1020 WASCO SUITE K , HOOD RIVER, OR",-121.5226893,45.71176910000001
BREEZE BOTANICALS ASHLAND,ASHLAND,JACKSON,1526 SISKIYOU BLVD ,97539,Yes,,"1526 SISKIYOU BLVD , ASHLAND, OR",-122.6886811,42.183626
"HOUSE OF LEAVES, LLC",ASHLAND,JACKSON,488 N MAIN STREET ,97520,Yes,Yes,"488 N MAIN STREET , ASHLAND, OR",-122.7200206,42.2052216
KALEAFA,ASHLAND,JACKSON,"1253 SISKIYOU BLVD., STE. C ",97520,Yes,Yes,"1253 SISKIYOU BLVD., STE. C , ASHLAND, OR",-122.6935403,42.1866317
MADRONE CANNABIS CLUB,ASHLAND,JACKSON,481 APPLEGATE WAY ,97520,Yes,,"481 APPLEGATE WAY , ASHLAND, OR",-122.6553961,42.1843934
ROGUE VALLEY CANNABIS - ASHLAND,ASHLAND,JACKSON,505 SISKIYOU BLVD ,97520,Yes,Yes,"505 SISKIYOU BLVD , ASHLAND, OR",-122.7078138,42.1937337
ROGUE VALLEY CANNABIS,CENTRAL POINT,JACKSON,6388 CRATER LAKE ,97502,Yes,Yes,"6388 CRATER LAKE , CENTRAL POINT, OR",-122.8553625,42.4090844
BREEZE BOTANICALS GOLD HILL,GOLD HILL,JACKSON,315 2ND AVE   ,97525,Yes,,"315 2ND AVE   , GOLD HILL, OR",-123.0472997,42.4313879
SKUNKRX,GRANTS PASS,JACKSON,8979 ROGUE RIVER HWY ,97527,,,"8979 ROGUE RIVER HWY , GRANTS PASS, OR",-123.1722048,42.4301305
AMERICAN CANNABIS COMPANY,MEDFORD,JACKSON,2131 W MAIN SUITE A ,97501,Yes,Yes,"2131 W MAIN SUITE A , MEDFORD, OR",-122.8963437,42.3232771
C&C FARMS REC SHOP,MEDFORD,JACKSON,2390 W MAIN ST SUITE D ,97501,,,"2390 W MAIN ST SUITE D , MEDFORD, OR",-122.901613,42.3249201
"CANNABIZ EXPERIENCE, LLC",MEDFORD,JACKSON,333 N. RIVERSIDE ,97501,Yes,Yes,"333 N. RIVERSIDE , MEDFORD, OR",-122.8729474,42.3307886
CLOUD 9 WELLNESS,MEDFORD,JACKSON,1411 HILTON RD TIM@CLOUD9WELLNESS.COM,97504,Yes,Yes,"1411 HILTON RD TIM@CLOUD9WELLNESS.COM, MEDFORD, OR",-122.8674576,42.354242
DAB TOWN USA,MEDFORD,JACKSON,1244 S RIVERSIDE AVE. ,97501,,,"1244 S RIVERSIDE AVE. , MEDFORD, OR",-122.8617148,42.3139287
EMERALD TRIANGLE DISPENSARY,MEDFORD,JACKSON,246 EAST 10TH STREET ,97501,Yes,Yes,"246 EAST 10TH STREET , MEDFORD, OR",-122.8690097,42.3241694
EMERALD TRIANGLE DISPENSARY,MEDFORD,JACKSON,250 EAST 10TH STREET ,97501,,,"250 EAST 10TH STREET , MEDFORD, OR",-122.8689178,42.3242036
EMERALD TRIANGLE DISPENSARY,MEDFORD,JACKSON,1818 MCANDREWS ,97501,,,"1818 MCANDREWS , MEDFORD, OR",-122.8584758,42.3412646
FIRESIDE DISPENSARY,MEDFORD,JACKSON,4149 S PACIFIC HWY UNIT A ,97535,Yes,,"4149 S PACIFIC HWY UNIT A , MEDFORD, OR",-122.8221869,42.2806273
GRATEFUL MEDS,MEDFORD,JACKSON,2021 W MAIN ST ,97501,Yes,,"2021 W MAIN ST , MEDFORD, OR",-122.8948879,42.3227153
GROUND UP,MEDFORD,JACKSON,429 S CENTRAL AVENUE ,97501,Yes,Yes,"429 S CENTRAL AVENUE , MEDFORD, OR",-122.8684623,42.3229382
HIJINX CANNABIS CO,MEDFORD,JACKSON,3943 S. PACIFIC HIGHWAY ,97501,Yes,Yes,"3943 S. PACIFIC HIGHWAY , MEDFORD, OR",-122.8263368,42.2830676
HOUSE OF LEAVES MEDFORD,MEDFORD,JACKSON,259 E BARNETT RD #1 ,97501,Yes,Yes,"259 E BARNETT RD #1 , MEDFORD, OR",-122.8589443,42.3173567
KANOPY 7,MEDFORD,JACKSON,1252 W MCANDREWS ROAD UNIT 2,97501,Yes,Yes,"1252 W MCANDREWS ROAD UNIT 2, MEDFORD, OR",-122.8985932,42.3278776
LA MOTA,MEDFORD,JACKSON,1945 W MAIN ST ,97501,,,"1945 W MAIN ST , MEDFORD, OR",-122.8942144,42.32346649999999
LA MOTA,MEDFORD,JACKSON,1258 S RIVERSIDE AVENUE ,97501,,,"1258 S RIVERSIDE AVENUE , MEDFORD, OR",-122.8612254,42.31324679999999
LA MOTA ,MEDFORD,JACKSON,620 W STEWART AVE ,97501,Yes,Yes,"620 W STEWART AVE , MEDFORD, OR",-122.8770928,42.3131789
LA MOTA 6 LLC,MEDFORD,JACKSON,17 S RIVERSIDE AVE ,97501,,,"17 S RIVERSIDE AVE , MEDFORD, OR",-122.8701493,42.3271086
LA MOTA MEDFORD 3 LLC,MEDFORD,JACKSON,3460 N PACIFIC HWY ,97501,,,"3460 N PACIFIC HWY , MEDFORD, OR",-122.9030934,42.3581234
MARKET STREET WELLNESS,MEDFORD,JACKSON,633 MARKET ST #102 ,97504,,,"633 MARKET ST #102 , MEDFORD, OR",-122.8698614,42.3379653
MOTHER EARTH MEDICINES,MEDFORD,JACKSON,36 S. RIVERSIDE AVENUE ,97501,Yes,Yes,"36 S. RIVERSIDE AVENUE , MEDFORD, OR",-122.8702591,42.3265581
MR. NICE GUY MEDFORD,MEDFORD,JACKSON,35 W 8TH ST ,97501,,,"35 W 8TH ST , MEDFORD, OR",-122.8729649,42.32466669999999
MR. NICE GUY RETAIL,MEDFORD,JACKSON,609 E. JACKSON STREET ,97504,,,"609 E. JACKSON STREET , MEDFORD, OR",-122.8667424,42.331131
OCEAN GROWN CANNABIS COMPANY,MEDFORD,JACKSON,1597 E VILAS ROAD EAST ,97502,,,"1597 E VILAS ROAD EAST , MEDFORD, OR",-122.8539636,42.3896045
OREGON FARMACY,MEDFORD,JACKSON,1 WEST 6TH STREET SUITE 104 ,97501,Yes,,"1 WEST 6TH STREET SUITE 104 , MEDFORD, OR",-122.8743599,42.3263106
OREGON GROWN CANNABIS RECREATIONAL DISPENSARY,MEDFORD,JACKSON,1201 W. STEWART AVE ,97501,Yes,Yes,"1201 W. STEWART AVE , MEDFORD, OR",-122.8886181,42.3125173
PHARM TO TABLE,MEDFORD,JACKSON,3528 S. PACIFIC HIGHWAY ,97501,Yes,Yes,"3528 S. PACIFIC HIGHWAY , MEDFORD, OR",-122.8339463,42.28754139999999
PHARM TO TABLE,MEDFORD,JACKSON,3434 NORTH PACIFIC HIGHWAY ,97501,Yes,Yes,"3434 NORTH PACIFIC HIGHWAY , MEDFORD, OR",-122.9027234,42.3576522
ROGUE VALLEY CANNABIS - WEST MAIN,MEDFORD,JACKSON,2060 WEST MAIN ST ,97501,Yes,Yes,"2060 WEST MAIN ST , MEDFORD, OR",-122.8954841,42.3240883
SENSIBLE CANNABIS COMPANY,MEDFORD,JACKSON,3338 N PACIFIC HWY ,97504,,Yes,"3338 N PACIFIC HWY , MEDFORD, OR",-122.9010192,42.35583250000001
THE SPOT CANNABIS COLLECTIVE,MEDFORD,JACKSON,2590 CRATER LAKE HIGHWAY ,97504,,,"2590 CRATER LAKE HIGHWAY , MEDFORD, OR",-122.8670178,42.3553852
THE WICKED FLOWER SHOPPE,MEDFORD,JACKSON,600 EAST JACKSON ,97501,,,"600 EAST JACKSON , MEDFORD, OR",-122.8669716,42.3309361
WEEDBUCKS,MEDFORD,JACKSON,437 S. CENTRAL AVENUE ,97501,Yes,,"437 S. CENTRAL AVENUE , MEDFORD, OR",-122.8683815,42.3228101
TOP SHELF WELLNESS CENTER,PHOENIX,JACKSON,205 N PHOENIX RD SUITE #C ,97535,,,"205 N PHOENIX RD SUITE #C , PHOENIX, OR",-122.8172365,42.2819878
GOLD RIVER BOTANICALS ,ROGUE RIVER,JACKSON,204 MADRONE ST. ,97537,Yes,Yes,"204 MADRONE ST. , ROGUE RIVER, OR",-123.1678251,42.4315712
ROGUE RIVER HERBAL PMC,ROGUE RIVER,JACKSON,510 EAST MAIN ST  STE C,97537,Yes,Yes,"510 EAST MAIN ST  STE C, ROGUE RIVER, OR",-123.1636931,42.4323659
GRATEFUL MEDS,TALENT,JACKSON,630 HWY 99 ,97540,Yes,,"630 HWY 99 , TALENT, OR",-122.7871599,42.247125
GREEN VALLEY WELLNESS,TALENT,JACKSON,103 N PACIFIC HWY  UNITS B & C,97540,Yes,,"103 N PACIFIC HWY  UNITS B & C, TALENT, OR",-122.7850972,42.2456637
TALENT HEALTH CLUB,TALENT,JACKSON,1007 S PACIFIC HIGHWAY UNIT G,97540,Yes,,"1007 S PACIFIC HIGHWAY UNIT G, TALENT, OR",-122.7694511,42.2377276
TOP SHELF WELLNESS CENTER,WHITE CITY,JACKSON,7162 CRATER LAKE HWY ,97503,Yes,Yes,"7162 CRATER LAKE HWY , WHITE CITY, OR",-122.8514193,42.4207249
CENTRAL ORGANICS,MADRAS,JEFFERSON,780 SW 4TH ST ,97741,Yes,,"780 SW 4TH ST , MADRAS, OR",-121.1310409,44.6243942
DIAMONDTREE,MADRAS,JEFFERSON,380 N HIGHWAY 26 ,97741,Yes,,"380 N HIGHWAY 26 , MADRAS, OR",-121.1299298,44.6407337
GREEN KNOTTZ MADRAS,MADRAS,JEFFERSON,108 SW D ST  STE A,97741,Yes,,"108 SW D ST  STE A, MADRAS, OR",-121.1316536,44.633795
PIONEER CANNABIS CO.,MADRAS,JEFFERSON,141 SE 5TH STREET ,97741,Yes,Yes,"141 SE 5TH STREET , MADRAS, OR",-121.1313021,44.622509
PLANTAE,MADRAS,JEFFERSON,1100 SW HWY 97  STE 103,97741,Yes,,"1100 SW HWY 97  STE 103, MADRAS, OR",-121.1328346,44.6203695
BUD BROS LLC,CAVE JUNCTION,JOSEPHINE,335 SOUTH REDWOOD HIGHWAY ,97523,Yes,Yes,"335 SOUTH REDWOOD HIGHWAY , CAVE JUNCTION, OR",-123.6455429,42.1708034
PAPA'S DISPENSARY,CAVE JUNCTION,JOSEPHINE,214 N. REDWOOD HWY. SUITE E,97523,Yes,Yes,"214 N. REDWOOD HWY. SUITE E, CAVE JUNCTION, OR",-123.6464428,42.1703197
CAFE VERDE,GRANTS PASS,JOSEPHINE,2455 ROGUE RIVER HIGHWAY ,97526,Yes,Yes,"2455 ROGUE RIVER HIGHWAY , GRANTS PASS, OR",-123.2910865,42.4240489
DIAMOND CANNABIS ,GRANTS PASS,JOSEPHINE,300 SW 6TH STREET ,97526,Yes,,"300 SW 6TH STREET , GRANTS PASS, OR",-123.32798,42.43817000000001
FORWARD CANNABIS,GRANTS PASS,JOSEPHINE,1580 NE 7TH STREET SUITE A,97526,Yes,Yes,"1580 NE 7TH STREET SUITE A, GRANTS PASS, OR",-123.3213783,42.4559834
PURE CANNABIS & CBD,GRANTS PASS,JOSEPHINE,3600 MERLIN RD ,97526,,,"3600 MERLIN RD , GRANTS PASS, OR",-123.3681878,42.4966758
REDWOOD CANNABIS DISPENSARY,GRANTS PASS,JOSEPHINE,825 NE F ST ,97526,,,"825 NE F ST , GRANTS PASS, OR",-123.3151863,42.4381211
SOUTHERN OREGON CANNABIS CONNECTION,GRANTS PASS,JOSEPHINE,1950 NE 7TH STREET ,97526,Yes,Yes,"1950 NE 7TH STREET , GRANTS PASS, OR",-123.3211979,42.4612336
TAMERANS,GRANTS PASS,JOSEPHINE,3388 MERLIN RD.  ,97526,Yes,Yes,"3388 MERLIN RD.  , GRANTS PASS, OR",-123.370799,42.4971079
BUD JUNCTION,KERBY,JOSEPHINE,24394 REDWOOD HWY ,97531,Yes,Yes,"24394 REDWOOD HWY , KERBY, OR",-123.6503987,42.1935726
RIVER CITY RETAIL,MERLIN,JOSEPHINE,115 GALICE RD SUITE A,97532,Yes,,"115 GALICE RD SUITE A, MERLIN, OR",-123.4246147,42.516727
THE NEW AMSTERDAM,LAKEVIEW,LAKE,15 N F ST ,97630,Yes,Yes,"15 N F ST , LAKEVIEW, OR",-120.3461652,42.1898558
TOP SHELF MEDICINE 2,LAKEVIEW,LAKE,18 NORTH F STREET ,97630,Yes,Yes,"18 NORTH F STREET , LAKEVIEW, OR",-120.3456884,42.1898243
BLUE RIVER GRASS STATION,BLUE RIVER,LANE,51752 BLUE RIVER DRIVE ,97413,,,"51752 BLUE RIVER DRIVE , BLUE RIVER, OR",-122.3393967,44.1540435
APOTHECARIA,COTTAGE GROVE,LANE,700 ROW RIVER ROAD ,97424,Yes,,"700 ROW RIVER ROAD , COTTAGE GROVE, OR",-123.0398074,43.8025023
MANDY'S SUGAR SHACK,COTTAGE GROVE,LANE,339 HWY 99 SOUTH ,97424,Yes,,"339 HWY 99 SOUTH , COTTAGE GROVE, OR",-123.0616599,43.7941834
THE HOLISTIC COOP LLC,COTTAGE GROVE,LANE,1049 E MAIN ST ,97424,Yes,Yes,"1049 E MAIN ST , COTTAGE GROVE, OR",-123.0569507,43.7969628
THE MEDICATION STATION,COTTAGE GROVE,LANE,1041 HWY 99 NORTH ,97424,Yes,Yes,"1041 HWY 99 NORTH , COTTAGE GROVE, OR",-123.1442693,44.0724373
AMAZON ORGANICS,EUGENE,LANE,3443 HILYARD ST.  SUITE F,97405,Yes,Yes,"3443 HILYARD ST.  SUITE F, EUGENE, OR",-123.080992,44.0193458
APOTHCA,EUGENE,LANE,1205 ALDER ST ,97401,Yes,Yes,"1205 ALDER ST , EUGENE, OR",-123.0799525,44.046532
CANNABLISS & CO. ,EUGENE,LANE,588 E. 11TH ,97401,,Yes,"588 E. 11TH , EUGENE, OR",-123.0838986,44.0474524
ELECTRIC LETTUCE EUGENE,EUGENE,LANE,1201 W 11TH AVE ,97402,,,"1201 W 11TH AVE , EUGENE, OR",-123.1112013,44.0478991
ELEV8 CANNABIS ,EUGENE,LANE,1409 OAK ST ,97401,,,"1409 OAK ST , EUGENE, OR",-123.0909076,44.0442532
EMERALD CITY MEDICINAL ,EUGENE,LANE,1474 WEST 6TH AVENUE  ,97402,Yes,Yes,"1474 WEST 6TH AVENUE  , EUGENE, OR",-123.1150442,44.0530166
EUGENE OG,EUGENE,LANE,2045 FRANKLIN BLVD. ,97403,Yes,Yes,"2045 FRANKLIN BLVD. , EUGENE, OR",-123.0624264,44.0453177
EUGREEN HEALTH CENTER,EUGENE,LANE,1000 OBIE STREET SUITE A ,97402,Yes,Yes,"1000 OBIE STREET SUITE A , EUGENE, OR",-123.1517272,44.0491278
EUGREEN HEALTH CENTER,EUGENE,LANE,1111 WILLAMETTE ST. ,97401,Yes,Yes,"1111 WILLAMETTE ST. , EUGENE, OR",-123.092495,44.0475561
FIREHORSE TRADING CO.,EUGENE,LANE,233 W. 7TH AVE.  SUITE B,97401,Yes,Yes,"233 W. 7TH AVE.  SUITE B, EUGENE, OR",-123.0963085,44.0523331
FLOWR OF LYFE,EUGENE,LANE,114 WEST BROADWAY ,97401,Yes,Yes,"114 WEST BROADWAY , EUGENE, OR",-123.0945991,44.049812
GOING GREEN EUGENE,EUGENE,LANE,439 W 1ST AVE ,97401,,,"439 W 1ST AVE , EUGENE, OR",-123.0993481,44.0589289
GRASSLANDS DISPENSARY,EUGENE,LANE,154 LAWRENCE ST ,97401,,,"154 LAWRENCE ST , EUGENE, OR",-123.0990295,44.0581553
GREEN HEALTH EUGENE ,EUGENE,LANE,607 HIGHWAY 99 N  ,97402,Yes,Yes,"607 HIGHWAY 99 N  , EUGENE, OR",-123.1408903,44.0680056
GREEN THERAPY ,EUGENE,LANE,85938 HWY 99 S  ,97405,Yes,Yes,"85938 HWY 99 S  , EUGENE, OR",-123.1719789,44.1030411
HIGH 5 CANNABIS,EUGENE,LANE,86531 COLLEGE VIEW ROAD ,97405,Yes,Yes,"86531 COLLEGE VIEW ROAD , EUGENE, OR",-123.0216997,44.0131348
HIGHER GROUND DISPENSARY,EUGENE,LANE,324 E 12TH AVE. UNIT 2,97401,Yes,Yes,"324 E 12TH AVE. UNIT 2, EUGENE, OR",-123.087786,44.04641
HOLY GRAIL,EUGENE,LANE,1293 LINCOLN STREET ,97401,,,"1293 LINCOLN STREET , EUGENE, OR",-123.0971012,44.0456547
HUNKY DORY,EUGENE,LANE,675 LINCOLN ST ,97401,Yes,Yes,"675 LINCOLN ST , EUGENE, OR",-123.0970943,44.05243919999999
"HWY 99 CANNABIS, CO.",EUGENE,LANE,1083 B HWY 99 N. ,97402,Yes,,"1083 B HWY 99 N. , EUGENE, OR",-123.1448522,44.073116
INHALE DISPENSARY,EUGENE,LANE,86784 FRANKLIN BLVD UNIT A ,97405,Yes,Yes,"86784 FRANKLIN BLVD UNIT A , EUGENE, OR",-123.0246067,44.0179644
JAMAICA JOEL'S,EUGENE,LANE,37 W. 13TH AVE. SUITE 201 ,97401,Yes,Yes,"37 W. 13TH AVE. SUITE 201 , EUGENE, OR",-123.0930938,44.04569009999999
KODA BOY INVESTMENTS,EUGENE,LANE,86305 COLLEGE VIEW RD ,97405,,,"86305 COLLEGE VIEW RD , EUGENE, OR",-123.0198892,44.0081688
LA MOTA ,EUGENE,LANE,1291 W 7TH AVE ,97402,Yes,Yes,"1291 W 7TH AVE , EUGENE, OR",-123.1120584,44.0526338
LUCKY LION,EUGENE,LANE,2164 W 7TH AVE ,97402,,,"2164 W 7TH AVE , EUGENE, OR",-123.1261763,44.052179
MOOD,EUGENE,LANE,40 RIVER LOOP 2 BUILDING 1 SUITE B ,97404,,,"40 RIVER LOOP 2 BUILDING 1 SUITE B , EUGENE, OR",-123.1373016,44.1187856
MOSS CROSSING,EUGENE,LANE,2751 FRIENDLY ST. ,97405,Yes,Yes,"2751 FRIENDLY ST. , EUGENE, OR",-123.105192,44.0284594
MR. NICE GUY EUGENE,EUGENE,LANE,771 WASHINGTON ST ,97401,,,"771 WASHINGTON ST , EUGENE, OR",-123.1001313,44.0513054
NECTAR,EUGENE,LANE,340 RIVER ROAD ,97404,Yes,Yes,"340 RIVER ROAD , EUGENE, OR",-123.1179898,44.0658573
NECTAR,EUGENE,LANE,698 W. 6TH AVENUE ,97402,,,"698 W. 6TH AVENUE , EUGENE, OR",-123.1030838,44.0530061
NEXT LEVEL WELLNESS ,EUGENE,LANE,2837 WILLAMETTE STREET SUITE A ,97405,Yes,,"2837 WILLAMETTE STREET SUITE A , EUGENE, OR",-123.0904646,44.02729859999999
NODAK GREEN PRAIRIE,EUGENE,LANE,390 COBURG ROAD SUITE A - 2,97401,Yes,Yes,"390 COBURG ROAD SUITE A - 2, EUGENE, OR",-123.0732575,44.0668432
OREGON CANNABIS OUTLET,EUGENE,LANE,1416 W 7TH AVE ,97402,Yes,Yes,"1416 W 7TH AVE , EUGENE, OR",-123.1146084,44.0518625
OREGON CANNABIS OUTLET-WILLAMETTE,EUGENE,LANE,1361 WILLAMETTE STREET ,97401,Yes,Yes,"1361 WILLAMETTE STREET , EUGENE, OR",-123.0924749,44.0449787
OREGON MEDIGREEN,EUGENE,LANE,570 LAWRENCE ST #112 ,97401,,,"570 LAWRENCE ST #112 , EUGENE, OR",-123.09909,44.053729
OREGON'S GREEN RUSH,EUGENE,LANE,2644 RIVER ROAD #5 ,97404,Yes,Yes,"2644 RIVER ROAD #5 , EUGENE, OR",-123.1313268,44.1023589
PEACH CANNABIS,EUGENE,LANE,1553 OAK STREET ,97401,,,"1553 OAK STREET , EUGENE, OR",-123.0907486,44.04278619999999
PHRESH START,EUGENE,LANE,1055 BAILEY HILL RD STE. C & G ,97402,,,"1055 BAILEY HILL RD STE. C & G , EUGENE, OR",-123.1475902,44.049082
PROHIBITIONS FALLS,EUGENE,LANE,2270 W 11TH AVE ,97401,Yes,,"2270 W 11TH AVE , EUGENE, OR",-123.1269426,44.047582
QUICK STOP CANNABIS,EUGENE,LANE,1681 W. 7TH AVENUE ,97402,Yes,Yes,"1681 W. 7TH AVENUE , EUGENE, OR",-123.1178922,44.05244709999999
RARE EARTH DISPENSARY LLC,EUGENE,LANE,2880 ELMIRA RD SUITE B,97402,Yes,,"2880 ELMIRA RD SUITE B, EUGENE, OR",-123.1392119,44.0654394
RIVER VALLEY REMEDIES,EUGENE,LANE,1985 W 7TH AVE ,97402,Yes,Yes,"1985 W 7TH AVE , EUGENE, OR",-123.122301,44.052449
SOLUTIONS OF THE MILLENNIUM LLC,EUGENE,LANE,2893 OAK ST ,97405,Yes,,"2893 OAK ST , EUGENE, OR",-123.089518,44.0264077
SPACEBUDS,EUGENE,LANE,741 LINCOLN STREET ,97401,Yes,Yes,"741 LINCOLN STREET , EUGENE, OR",-123.0970499,44.0516621
SWEET TREE FARMS,EUGENE,LANE,4097 WEST 11TH AVE ,97402,Yes,Yes,"4097 WEST 11TH AVE , EUGENE, OR",-123.1618482,44.0485958
TERPENE STATION,EUGENE,LANE,645 RIVER ROAD SUITE 3 ,97404,Yes,Yes,"645 RIVER ROAD SUITE 3 , EUGENE, OR",-123.118157,44.0718871
THE GREENER SIDE DETROIT LAKE,EUGENE,LANE,1407 RIVER ROAD ,97404,Yes,,"1407 RIVER ROAD , EUGENE, OR",-123.1236909,44.0861054
THE HERBAL CONNECTION ,EUGENE,LANE,463 RIVER AVE. ,97404,Yes,,"463 RIVER AVE. , EUGENE, OR",-123.1181915,44.0968801
THE OZ. HOUSE,EUGENE,LANE,1775 W 6TH ST. SUITE A ,97402,Yes,Yes,"1775 W 6TH ST. SUITE A , EUGENE, OR",-123.11945,44.0535346
THE PEOPLE'S WELLNESS CENTER,EUGENE,LANE,71 CENTENNIAL LOOP SUITE B,97401,Yes,Yes,"71 CENTENNIAL LOOP SUITE B, EUGENE, OR",-123.0787384,44.0606751
TJ'S ON THE ALLEY,EUGENE,LANE,1027 WILLAMETTE STREET  ,97401,,,"1027 WILLAMETTE STREET  , EUGENE, OR",-123.092319,44.0484581
TJ'S PROVISIONS,EUGENE,LANE,1910 EMPIRE PARK DRIVE ,97402,,,"1910 EMPIRE PARK DRIVE , EUGENE, OR",-123.1539895,44.0827266
TOP CROP CANNABIS,EUGENE,LANE,"3170 W. 11TH AVENUE, UNIT A ",97402,Yes,Yes,"3170 W. 11TH AVENUE, UNIT A , EUGENE, OR",-123.1398367,44.0475637
TRACK TOWN COLLECTIVE,EUGENE,LANE,3675 FRANKLIN BLVD ,97403,,,"3675 FRANKLIN BLVD , EUGENE, OR",-123.0391837,44.0452604
